Order ID,order_date,City,Revenue,Discount,Quantity,Customer Age,Is Member,Channel,Sales Channel,Currency,Sales Rep,Email,Notes,
ORD-1797,2026-01-28,-,"$1,836.47",5.5%,2.0,30.0,Yes,Store,Store,INR,P. Nair ,customer797@example.com,,
ORD-1848,2025-05-26,Bengaluru,"$2,406.41",17.8%,5.0,49.0,No,Store,Store,INR,R. Iyer ,customer848@example.com,,
ORD-1178,2025-08-05,Mumbai,"$1,119.91",34.0%,11.0,29.0,No,Online,Online,INR,  M. Khan,customer178@example.com,,
ORD-1859,2025-11-04,mumbai,"$1,661.19",15.4%,2.0,42.0,Yes,Partner,Partner,INR,  M. Khan,customer859@example.com,,
ORD-1438,2025-04-14,Bengaluru,"$1,278.26",33.0%,999.0,44.0,No,Store,Store,INR,R. Iyer ,customer438@example.com,,
ORD-1590,2025-08-29,MUMBAI,$317.04,20.8%,9.0,29.0,No,Store,Store,INR,R. Iyer ,customer590@example.com,,
ORD-1347,2025-04-13,Bengaluru,"$1,125.20",15.3%,4.0,42.0,No,Online,Online,INR,  M. Khan,customer347@example.com,,
ORD-1072,2025-12-29,chennai,"$1,259.97",26.8%,1.0,59.0,No,Store,Store,INR,R. Iyer ,customer72@example.com,,
ORD-1675,2025-06-16,DELHI,"$1,294.53",1.3%,6.0,25.0,Yes,Partner,Partner,INR,  M. Khan,customer675@example.com,,
ORD-1279,2025-09-27,mumbai,"$1,739.19",6.5%,7.0,30.0,No,Online,Online,INR,P. Nair ,customer279@example.com,,
ORD-1721,2025-09-21,Chennai,"$1,156.53",21.2%,10.0,36.0,No,Online,Online,INR,P. Nair ,customer721@example.com,,
ORD-1388,2025-03-06,Bengaluru,$391.68,23.9%,5.0,47.0,Yes,Online,Online,INR,  M. Khan,customer388@example.com,,
ORD-1421,24/07/2025,Mumbai,$963.87,16.0%,9.0,42.0,No,Store,Store,INR,S. Bose,customer421@example.com,,
ORD-1794,2025-10-02,DELHI,$988.96,30.7%,8.0,36.0,Yes,Online,Online,INR,R. Iyer ,customer794@example.com,,
ORD-1028,2026-03-11,Kolkata,"$1,728.11",7.5%,11.0,27.0,No,Online,Online,INR,S. Bose,customer28@example.com,,
ORD-1399,2025-12-02,Delhi,"$1,346.45",32.3%,1.0,45.0,No,Store,Store,INR,P. Nair ,customer399@example.com,,
ORD-1097,2026-02-01,chennai,"$1,303.75",26.2%,3.0,39.0,No,Online,Online,INR,S. Bose,customer97@example.com,,
ORD-1564,2025-06-03,unknown,$893.21,18.8%,11.0,47.0,No,Online,Online,INR,A. Sharma,customer564@example.com,,
ORD-1394,2026-01-02,Mumbai,"$1,509.62",1.3%,8.0,37.0,No,Online,Online,INR,  M. Khan,customer394@example.com,,
ORD-1230,2025-06-26,Delhi,N/A,34.7%,11.0,29.0,No,Store,Store,INR,P. Nair ,customer230@example.com,,
ORD-1892,2025-07-15,Chennai,$976.96,23.6%,9.0,41.0,Yes,Store,Store,INR,  M. Khan,customer892@example.com,,
ORD-1440,2025-10-18,Mumbai,$247.68,5.9%,2.0,,No,Online,Online,INR,A. Sharma,customer440@example.com,,
ORD-1525,2026-02-02,Delhi,"$1,155.32",30.5%,5.0,42.0,Yes,Partner,Partner,INR,P. Nair ,customer525@example.com,,
ORD-1879,2025-06-03,Delhi,"$1,469.18",3.9%,5.0,44.0,No,Online,Online,INR,A. Sharma,customer879@example.com,,
ORD-1286,2025-03-13,mumbai,$309.03,20.9%,3.0,40.0,No,Partner,Partner,INR,R. Iyer ,customer286@example.com,,
ORD-1553,2025-10-10,DELHI,"$1,113.67",27.0%,3.0,29.0,Yes,Store,Store,INR,S. Bose,customer553@example.com,,
ORD-1688,2025-07-08,Bengaluru,$479.81,34.2%,8.0,56.0,No,Partner,Partner,INR,P. Nair ,customer688@example.com,,
ORD-1138,2025-10-02,DELHI,$733.09,26.6%,10.0,37.0,Yes,Store,Store,INR,S. Bose,customer138@example.com,,
ORD-1456,2025-11-10,Delhi,$397.22,2.7%,4.0,31.0,No,Online,Online,INR,  M. Khan,customer456@example.com,,
ORD-1622,2026-02-28,bengaluru,"$1,860.53",27.5%,3.0,51.0,No,Online,Online,INR,A. Sharma,customer622@example.com,,
ORD-1299,2026-01-25,delhi,"$1,123.45",31.4%,10.0,24.0,Yes,Store,Store,INR,R. Iyer ,customer299@example.com,,
